symbol,name
KAMOPAINTS,KAMDHENU VENTURES LTD
INDOBORAX,INDO BORAX & CHEMICAL LTD
GOACARBON,GOA CARBON LTD
EMAMIPAP,EMAMI PAPER MILLS LTD
PLASTIBLEN,PLASTIBLENDS INDIA LTD
RACE,RACE ECO CHAIN LTD
SEJALLTD,SEJAL GLASS LTD
SKMEGGPROD,SKM EGG PROD EXPORT(I) LTD
NAGAFERT,NAGARJUN FERT AND CHE LTD
AARTISURF,AARTI SURFACTANTS LTD
ASHIMASYN,ASHIMA LTD
VIKASECO,VIKAS ECOTECH LTD
NAHARINDUS,NAHAR INDS ENT LTD
KRONOX,KRONOX LAB SCIENCES LTD
NRAIL,N R AGARWAL INDS LTD
DONEAR,DONEAR IND. LTD
BALAJEE,SHREE TIRUPATI BALAJEE L
NOVAAGRI,NOVA AGRITECH LTD
GENUSPAPER,GENUS P&B LTD
PCCL,PETRO CARBON AND CHEMI L
NAHARPOLY,NAHAR POLY FILMS LTD
PRECOT,PRECOT LTD
KANORICHEM,KANORIA CHEMICALS & INDUS
GOKUL,GOKUL REFOILS & SOLV LTD
INDOUS,INDO US BIOTECH LTD
KCPSUGIND,KCPSUGARINDUS
PASHUPATI,PASHUPATI COTSPIN LTD
ASAHISONG,ASAHI SONGWON COLOR LTD
HARRMALAYA,HARRISONS MALAYALAM
AXITA,AXITA COTTON LTD
SHREEKARNI,SHREE KARNI FABCOM LTD
ORBTEXP,ORBIT EXPORTS LTD
DIAMINESQ,DIAMINES & CHEMICALS LTD
BANSWRAS,BANSWARA SYNTEX LTD
BBTCL,B&B TRIPLEWALL CONT LTD
PODDARMENT,PODDAR PIGMENTS LTD
SHREERAMA,SHREE RAMA MULTI TECH LTD
RUBFILA,RUBFILA INTERNATIONAL LTD
KOTARISUG,KOTHARI SUG & CHEM LTD.
MANORG,MANGALAM ORGANICS LTD
SAKHTISUG,SAKTHI SUGARS LTD
PASUPTAC,PASUPATI ACRYLON LTD
JAYSREETEA,JAYSHREE TEA & INDUSTRIES
MGEL,MANGALAM GLOBAL ENT LTD
DCMNVL,DCM NOUVELLE LTD
RUCHIRA,RUCHIRA PAPERS LTD
PONNIERODE,PONNIE SUGARS (ERODE) LTD
VISHWARAJ,VISHWARAJ SUGAR IND LTD
VARDMNPOLY,VARDHMAN POLYTEX LTD.
KCK,KCK INDUSTRIES LTD
RAMAPHO,RAMA PHOSPHATES LTD
NATHBIOGEN,NATH BIO-GENES (I) LTD
BASML,BANNARI AM SPIN MILL LTD.
PAR,PAR DRUGS AND CHEM LTD
TTL,T T LTD
TBI,TBI CORN LTD
MANOMAY,MANOMAY TEX INDIA LTD
ARIES,ARIES AGRO LTD.
SHREYANIND,SHREYANS INDUSTRIES LTD
MARALOVER,MARAL OVERSEAS LTD
KMSUGAR,K M SUGAR MILLS LTD
MKPL,M K PROTEINS LTD
RANASUG,RANA SUGARS LTD.
STARPAPER,STAR PAPER MILLS LTD
MAGNUM,MAGNUM VENTURES LTD.
SHIVATEX,SHIVA TEXYARN LTD
IEML,INDIAN EMULSIFIERS LTD
SAH,SAH POLYMERS LTD
RPPL,RAJSHREE POLYPACK LTD
RBS,RAMDEVBABA SOLVENT LTD
MEGASTAR,MEGASTAR FOODS LTD
DTIL,DHUNSERI TEA & IND. LTD.
OCCL,ORIENTAL CARBN & CHEM LTD
RAMANEWS,SHREE RAMA NEWSPRINT LTD
BSL,BSL LTD
PARAGON,PARAGON FINE S.C. LTD.
COMSYN,COMMERCIAL SYN BAGS LTD
GINNIFILA,GINNI FILAMENTS LTD
UNITEDPOLY,UNITED POLYFAB GUJ. LTD.
TAINWALCHM,TAINWALA CHEMICAL AND PLA
EMMBI,EMMBI INDUSTRIES LTD
IVP,IVP LTD
LOYALTEX,LOYAL TEXTILE MILLS LTD
AKSHARCHEM,AKSHARCHEM INDIA LTD
IPHL,INDIAN PHOSPHATE LTD
RAJSREESUG,RAJSHREE SUGAR & CHEMICAL
SIGIND,SIGNET INDUSTRIES LTD
HINDNATGLS,HIND NATL GLASS & IND LTD
OSWALSEEDS,SHREEOSWAL S AND CHE LTD
WORTH,WORTH PERIPHERALS LTD
WEIZMANIND,WEIZMANN LTD
ARVEE,ARVEE LABORATORIES I LTD
LAGNAM,LAGNAM SPINTEX LTD
FLEXITUFF,FLEXITUFF VENTURES INT L
SIL,STANDARD INDUSTRIES LTD.
VITAL,VITAL CHEMTECH LTD
